pass_accuracy,goals,assists,shots_on_target,key_passes,tackles,interceptions,clearances,blocks,yellow_cards,activity_rate,performance_score
0.8928571428571429,0,1,3,5,4,2,0,2,0,1.1603539155552163,66
0.8947368421052632,2,0,2,3,1,1,4,2,0,1.226931487015959,68
0.6896551724137931,0,0,5,4,4,0,2,0,0,1.0188785691974476,53
0.775,0,0,4,6,5,4,0,0,0,2.819735164722011,67
0.6438356164383562,0,1,0,2,5,3,2,2,0,1.80113527186106,44
0.6865671641791045,1,0,1,6,4,4,4,0,0,1.685667102406197,66
0.7142857142857143,1,0,1,2,0,3,3,2,0,1.8301158258003878,45
0.6060606060606061,1,2,2,0,0,3,1,0,0,1.9831168897420497,61
0.5833333333333334,0,2,4,2,5,0,3,1,0,0.6677002515962087,63
0.6,0,0,4,1,1,4,3,2,0,2.983451853356833,41
0.7297297297297297,1,0,0,4,1,2,1,1,1,0.9959785998020577,42
0.6153846153846154,0,0,5,2,2,2,4,3,1,1.5318920607036295,41
0.6486486486486487,0,0,5,0,0,1,2,3,1,2.91705121599427,29
0.9375,0,0,1,5,1,2,0,3,0,2.1310676183160693,43
0.5925925925925926,2,0,3,0,1,0,3,2,1,2.0209816793583864,50
0.8928571428571429,1,1,4,2,0,4,4,0,0,1.63207785030131,72
0.7906976744186046,1,1,4,5,0,4,0,3,0,1.6060733622078942,79
0.6938775510204082,0,0,2,2,3,1,0,3,0,2.3190819018469258,35
0.6229508196721312,0,0,1,2,2,0,2,2,1,0.8842471542153786,21
0.72,0,0,1,6,5,4,0,2,1,1.450746438455346,49
0.5454545454545454,0,1,1,2,1,0,4,0,0,1.0917106694053538,32
0.8,0,1,4,0,0,0,3,0,0,2.9224895257657706,42
0.8,0,1,1,6,3,2,4,0,0,1.9402984890972976,58
0.7692307692307693,2,0,5,1,4,1,4,1,0,0.7590735630277761,78
0.9066666666666666,1,0,1,0,4,2,1,0,0,2.93292015602211,49
0.8392857142857143,1,0,5,2,5,1,4,2,0,0.6285162157911899,69
0.5789473684210527,1,2,1,3,3,1,0,2,0,1.3109280781249573,67
0.8367346938775511,0,1,5,2,5,2,2,2,0,2.6648757013887954,66
0.5882352941176471,0,0,1,2,4,1,0,2,0,2.6328457180235287,31
0.7857142857142857,3,0,2,4,1,1,0,1,0,0.8001230279546085,84
0.625,0,0,2,6,1,4,3,1,0,1.1113592587962915,48
0.7719298245614035,1,1,2,2,4,3,4,3,0,2.281179606263481,68
0.6666666666666666,0,0,0,0,1,4,4,2,0,0.610193048265313,23
0.7857142857142857,2,2,5,0,2,3,1,3,0,1.04221070952867,95
0.7777777777777778,0,0,4,4,0,2,2,2,0,0.9531786181066627,47
0.7894736842105263,3,0,0,6,1,0,1,3,0,2.4356261391496377,80
0.5964912280701754,0,0,5,3,2,2,3,0,1,2.464783102398048,43
0.9,0,0,5,6,2,1,4,2,0,0.8409347843881172,62
0.6578947368421053,0,1,1,3,5,0,3,0,0,2.786917425161344,46
0.8214285714285714,0,0,0,4,2,2,1,0,0,0.9260177978922391,36
0.5789473684210527,1,0,4,5,0,1,3,1,0,1.0227263517799927,59
0.8,0,0,0,5,5,2,3,3,1,2.195205268987678,40
0.873015873015873,0,0,2,1,0,0,4,0,1,0.6638065545064173,23
0.8695652173913043,0,1,1,3,1,3,1,3,0,1.7114481336550378,48
0.7101449275362319,1,2,0,5,4,1,1,3,0,1.1561455145244137,74
0.896551724137931,0,0,2,5,3,0,0,0,0,1.9587834370507085,46
0.8367346938775511,0,0,2,4,0,2,0,1,0,1.2637081543777633,40
0.6122448979591837,1,0,0,5,4,4,1,1,0,2.7422315010842935,58
0.7,0,0,1,5,3,0,3,3,0,2.5091275151412407,39
0.7142857142857143,0,1,4,6,2,1,1,1,0,2.1799607805331784,64
0.7571428571428571,1,0,3,3,4,4,4,1,0,0.7833275511782979,67
0.8484848484848485,1,0,2,6,3,1,2,3,1,2.8634446426771407,60
0.5970149253731343,2,0,0,3,2,1,2,3,0,0.5936562488702569,56
0.5454545454545454,0,0,0,3,4,4,3,3,0,0.8106174074429324,35
0.6129032258064516,0,2,1,6,2,4,3,0,1,1.9619760729423223,61
0.9333333333333333,0,1,2,4,0,4,3,3,0,2.337864940622204,56
0.7857142857142857,1,1,3,0,0,0,4,2,0,0.712197036882781,52
0.8709677419354839,0,1,1,3,5,3,1,1,0,2.473593077852381,56
0.9302325581395349,0,2,3,1,5,4,2,3,0,0.7824227717302147,71
0.6470588235294118,1,0,3,3,4,0,0,1,0,1.1806634632910245,56
0.631578947368421,0,0,5,5,2,1,1,2,0,1.2129668041475332,53
0.9402985074626866,1,1,1,1,3,0,0,3,1,1.2382542457805292,51
0.6329113924050633,1,1,4,3,0,2,4,3,0,1.2033010088244904,66
0.7837837837837838,0,0,2,2,3,2,2,0,1,2.1898506403941735,34
0.7857142857142857,1,0,0,0,1,4,1,3,0,2.7134282914133125,40
0.7536231884057971,0,0,0,2,3,1,2,3,0,0.5799211984286239,29
0.78125,0,0,5,3,4,1,3,3,0,1.659119942709546,54
0.7321428571428571,3,0,5,2,4,4,2,0,0,2.458987700047121,100
0.8,0,1,1,2,5,2,4,3,0,2.4455317463035935,50
0.6153846153846154,0,0,4,1,4,0,3,1,0,1.8389252918768415,39
0.9285714285714286,1,0,0,2,2,3,3,3,0,1.160372924075476,49
0.6,0,1,3,0,2,2,3,1,0,2.880219658905645,42
0.6268656716417911,2,0,3,5,4,3,0,0,0,1.577675633114671,83
0.7931034482758621,2,1,2,5,4,0,0,3,0,1.939472514727077,86
0.6461538461538462,0,1,5,1,1,4,3,0,0,1.304498883134824,55
0.8958333333333334,0,0,2,6,5,2,0,1,0,0.5362269340001984,57
0.7333333333333333,3,2,2,6,4,2,4,1,0,2.6040111081417896,100
0.8095238095238095,1,0,5,1,3,1,3,0,0,1.2536694096435725,62
0.8947368421052632,0,0,1,4,5,4,4,2,0,2.384611185929014,51
0.8666666666666667,0,2,0,4,4,4,3,2,1,1.457103738107623,60
0.8888888888888888,2,0,4,3,1,3,0,3,0,2.4012918826103586,80
0.5625,0,1,3,2,5,2,3,1,1,2.8234693224164795,48
0.6363636363636364,1,0,4,5,5,2,2,1,0,1.4121066063403331,72
0.8,0,0,3,6,0,0,3,0,1,0.8397127335961231,41
0.6875,2,1,5,5,3,4,3,1,0,1.4001091468380888,100
0.6712328767123288,1,0,3,5,4,0,1,2,0,1.711456973079221,63
0.6,0,2,1,3,3,3,2,2,0,0.6506201572888202,57
0.6410256410256411,0,1,4,6,5,4,1,2,0,0.5850014312363262,74
0.7254901960784313,0,0,5,4,4,3,4,3,0,2.4889817989489265,60
0.5714285714285714,3,1,3,1,0,1,3,3,1,2.869935450270491,78
0.90625,2,0,4,6,3,2,3,3,0,2.3156635772945133,92
0.8571428571428571,1,1,5,0,1,3,2,2,0,2.679861578664104,70
0.8846153846153846,0,0,2,3,1,1,4,2,0,1.2338928337567987,38
0.8947368421052632,1,0,0,5,0,2,2,1,0,1.573864039554856,51
0.8695652173913043,0,1,0,4,0,4,2,2,0,1.6568087896698243,47
0.875,1,2,3,2,3,3,4,3,0,1.549014358041565,82
0.671875,0,1,2,0,4,1,1,2,0,1.583754951287329,41
0.9310344827586207,3,0,4,3,1,4,0,1,0,1.6022225459868575,98
